name,dob
"Pete Carmichael, Jr.",1971-10-06T00:00:00Z
Pete Cawthon,1898-03-24T00:00:00Z
Pete McCulley,1931-11-29T00:00:00Z
Pete Metzelaars,1960-05-24T00:00:00Z
Chena Gilstrap,1914-07-31T00:00:00Z
Chesley Johnston,1870-01-01T00:00:00Z
Chester S. Barnard,1894-10-25T00:00:00Z
Chick Meehan,1893-09-05T00:00:00Z
Chris Ault,1946-11-08T00:00:00Z
Chris Brown,1974-07-03T00:00:00Z
Dudley DeGroot,1899-11-10T00:00:00Z
Paddy Driscoll,1896-01-11T00:00:00Z
John McNally,1903-11-27T00:00:00Z
Jerod Mayo,1986-02-23T00:00:00Z
Pat Nevin,1963-09-06T00:00:00Z
Turk Edwards,1907-09-28T00:00:00Z
Otto Graham,1921-12-06T00:00:00Z
Paul Brown,1908-09-07T00:00:00Z
Bud Grant,1927-05-20T00:00:00Z
Ralph McKinzie,1894-10-01T00:00:00Z
Ralph S. Kent,1878-08-02T00:00:00Z
Ralph Thacker,1880-09-13T00:00:00Z
Ralph Young,1946-05-04T00:00:00Z
Randy Allen,1950-01-01T00:00:00Z
Randy Melvin,1959-04-03T00:00:00Z
Randy Sanders,1965-09-22T00:00:00Z
Bobby Williams,1958-11-21T00:00:00Z
Brendan Daly,1975-09-10T00:00:00Z
Brennan Carroll,1979-03-20T00:00:00Z
Brent Guy,1960-09-05T00:00:00Z
Brian Carlson,1962-03-06T00:00:00Z
Brian Daboll,1975-04-14T00:00:00Z
Brian Flores,1981-02-24T00:00:00Z
Chuck Noll,1932-01-05T00:00:00Z
Deion Sanders,1967-08-09T00:00:00Z
Ray Flaherty,1903-09-01T00:00:00Z
Cecil Grigg,1891-02-15T00:00:00Z
Chad Morris,1968-12-04T00:00:00Z
Charles A. Hickey,1874-06-29T00:00:00Z
Charles A. Huntington,1891-07-07T00:00:00Z
Charles Brickley,1891-11-24T00:00:00Z
Charles Erickson,1897-12-21T00:00:00Z
Bob Sutton,1951-01-28T00:00:00Z
Bob Wagner,1947-05-16T00:00:00Z
Bobby Bentley,1968-08-30T00:00:00Z
Bobby Jackson,1940-02-16T00:00:00Z
Bobby Morrison,1946-01-01T00:00:00Z
Bobby Petrino,1961-03-10T00:00:00Z
Bobby Ross,1936-12-23T00:00:00Z
Chuck Pagano,1960-10-02T00:00:00Z
DeMeco Ryans,1984-07-28T00:00:00Z
Al Michaels,1911-11-14T00:00:00Z
Al Pierotti,1895-10-24T00:00:00Z
Al Roberts,1944-01-06T00:00:00Z
Al Simpson,1916-07-19T00:00:00Z
Alan Lowry,1950-11-21T00:00:00Z
Alan Williams,1969-11-04T00:00:00Z
Charles F. Erb,1902-12-08T00:00:00Z
Charles Fickert,1873-02-23T00:00:00Z
Charles Hall,1875-12-23T00:00:00Z
Charles Jenkins,1872-05-28T00:00:00Z
Charles McGeoch,1899-09-12T00:00:00Z
Charles Morgan,1890-01-01T00:00:00Z
John DeFilippo,1978-04-12T00:00:00Z
Joe Philbin,1961-07-02T00:00:00Z
Al Saunders,1947-02-01T00:00:00Z
Ray Best,1935-01-01T00:00:00Z
Ray H. Watson,1923-07-23T00:00:00Z
Ray Handley,1944-10-08T00:00:00Z
Ray Malavasi,1930-11-08T00:00:00Z
Ray McLean,1915-12-06T00:00:00Z
Ray Perkins,1941-02-06T00:00:00Z
Ray Perkins,1941-11-06T00:00:00Z
Cleophus Hatcher,1925-06-18T00:00:00Z
Cleve Abbott,1892-12-09T00:00:00Z
Clint Young,1890-11-12T00:00:00Z
Clive Rush,1931-02-14T00:00:00Z
Clyde Mathews,1878-12-22T00:00:00Z
Dick Modzelewski,1931-02-16T00:00:00Z
A. B. Potter,1872-01-08T00:00:00Z
Arthur Charles Hoffman,1884-03-14T00:00:00Z
Albert Eugene Haylett,1903-09-17T00:00:00Z
Butch Nowack,1904-01-01T00:00:00Z
A. King Dickson,1876-01-01T00:00:00Z
A. L. McRae,1861-10-25T00:00:00Z
Phil Miller,1933-01-01T00:00:00Z
Philip Brooks,1938-12-30T00:00:00Z
Philip King,1872-03-16T00:00:00Z
Norris Armstrong,1898-09-15T00:00:00Z
Porter Craig,1888-10-24T00:00:00Z
Preston Mitchell,1914-05-06T00:00:00Z
Punk Berryman,1893-12-13T00:00:00Z
Otto D. Unruh,1899-09-17T00:00:00Z
P. J. Fleck,1980-11-29T00:00:00Z
P. J. Keefe,1878-09-16T00:00:00Z
Pat Flaherty,1956-04-27T00:00:00Z
Pat Meyer,1972-04-05T00:00:00Z
Pat Peppler,1922-04-16T00:00:00Z
Patrick Graham,1979-01-24T00:00:00Z
Raymond Berry,1933-02-27T00:00:00Z
Dennis Green,1949-02-17T00:00:00Z
Steve Owen,1898-04-21T00:00:00Z
Barry Switzer,1937-10-05T00:00:00Z
Pete Henry,1897-10-31T00:00:00Z
Brad Childress,1956-06-27T00:00:00Z
Adolph F. Bechdolt,1846-11-16T00:00:00Z
Al Borges,1955-10-08T00:00:00Z
Al Garten,1905-06-20T00:00:00Z
Al Groh,1944-07-13T00:00:00Z
Al Holcomb,1970-10-22T00:00:00Z
Al Luginbill,1946-11-13T00:00:00Z
Pete Schmidt,1948-04-24T00:00:00Z
Peter Hansen,1979-05-30T00:00:00Z
Phil Bengtson,1913-07-17T00:00:00Z
Phil Handler,1908-07-21T00:00:00Z
Phil Homeratha,1943-03-22T00:00:00Z
Phil Jones,1946-01-01T00:00:00Z
Chuck Kyle,1950-11-11T00:00:00Z
Chuck Mather,1915-04-17T00:00:00Z
Chuck Mills,1928-12-01T00:00:00Z
Clancy Barone,1963-07-26T00:00:00Z
Clarence A. Short,1873-07-01T00:00:00Z
Claude J. Hunt,1886-08-11T00:00:00Z
Clay Stapleton,1921-06-24T00:00:00Z
Clem Crowe,1903-10-18T00:00:00Z
Tyke Tolbert,1967-09-15T00:00:00Z
Ulysses S. Washington,1920-07-16T00:00:00Z
Van Nickert,1952-05-14T00:00:00Z
Van Ward,1884-09-06T00:00:00Z
Vance Gibson,1953-07-19T00:00:00Z
Vance Joseph,1972-09-20T00:00:00Z
Verne S. Bennett,1867-01-01T00:00:00Z
Vernon K. Irvine,1871-06-24T00:00:00Z
Vic Bradford,1915-03-05T00:00:00Z
Chris Hatcher,1973-02-18T00:00:00Z
Chris Palmer,1949-09-23T00:00:00Z
Chris Spielman,1965-10-11T00:00:00Z
Chuck Knox,1932-04-27T00:00:00Z
David Saunders,1958-04-06T00:00:00Z
David Schroeder,1937-01-01T00:00:00Z
David Shaw,1972-07-31T00:00:00Z
David Walker,1969-12-04T00:00:00Z
W. C. Riddick,1864-08-04T00:00:00Z
W. C. Riley,1903-01-04T00:00:00Z
Ray Sherman,1951-11-27T00:00:00Z
Ray Willsey,1928-09-30T00:00:00Z
Red Conkright,1914-04-17T00:00:00Z
Red Edwards,1904-03-15T00:00:00Z
Red Fleming,1889-10-27T00:00:00Z
Ray Prochaska,1919-08-09T00:00:00Z
Ray Rhodes,1950-10-20T00:00:00Z
Buster Ramsey,1920-03-16T00:00:00Z
Cecil Isbell,1915-07-11T00:00:00Z
Chuck Fairbanks,1933-06-10T00:00:00Z
Paul Boudreau,1949-12-30T00:00:00Z
Paul Chryst,1965-11-17T00:00:00Z
Paul Fitzke,1900-07-30T00:00:00Z
Paul Haynes,1969-07-11T00:00:00Z
Paul Pawlak,1940-07-25T00:00:00Z
Paul Roach,1927-10-24T00:00:00Z
Charles N. Crosby,1876-09-29T00:00:00Z
Charles Palmer Nott,1871-10-25T00:00:00Z
Charles Palmer Nott,1872-10-25T00:00:00Z
Charlie Partridge,1973-12-07T00:00:00Z
Charles R. Soleau,1909-10-24T00:00:00Z
Charles Rogers,1903-01-01T00:00:00Z
Charles Thomas,1871-10-21T00:00:00Z
Willard Scissum,1962-10-28T00:00:00Z
Bill Burghardt,1912-02-04T00:00:00Z
V. P. Whelan,1877-07-19T00:00:00Z
William D. Murray,1908-09-09T00:00:00Z
William Grinnell,1909-12-29T00:00:00Z
William J. Rennie,1891-09-12T00:00:00Z
William K. Head,1947-11-15T00:00:00Z
Albert Kawal,1912-07-04T00:00:00Z
Albert Simmons,1875-10-29T00:00:00Z
Alex Webster,1931-04-19T00:00:00Z
Alex Wood,1955-03-14T00:00:00Z
Alexander S. Lilley,1867-12-07T00:00:00Z
Vic Fangio,1958-08-22T00:00:00Z
Vince Martino,1947-03-19T00:00:00Z
Vince Tobin,1943-09-29T00:00:00Z
Virginius Dabney,1878-02-02T00:00:00Z
W. B. Hopkins,1869-01-01T00:00:00Z
W. C. Gorden,1930-06-30T00:00:00Z
Marc Mattioli,1985-01-01T00:00:00Z
Sam Chilton,1885-08-26T00:00:00Z
Joe McDaniel,1934-07-02T00:00:00Z
Joe Davis,1902-01-30T00:00:00Z
Nadine Nurasyid,1985-01-01T00:00:00Z
Charlie Currier,1928-05-06T00:00:00Z
Todd Hartley,1985-09-09T00:00:00Z
Jim Ward,1957-01-01T00:00:00Z
Sedley C. Peck,1889-07-14T00:00:00Z
Mike Munchak,1960-03-05T00:00:00Z
Mike Munchak,1960-03-06T00:00:00Z
Mike McCarthy,1963-11-10T00:00:00Z
Red Hickey,1917-02-14T00:00:00Z
Red Miller,1927-10-31T00:00:00Z
Red Parker,1933-10-26T00:00:00Z
Red Strader,1902-12-21T00:00:00Z
Reggie Brown,1876-03-13T00:00:00Z
Charles Whelan,1870-01-01T00:00:00Z
Charley Moran,1878-02-22T00:00:00Z
Charley Winner,1924-07-02T00:00:00Z
Charlie Cocuzza,1940-01-01T00:00:00Z
Charlie Coffey,1934-06-28T00:00:00Z
Charlie Richard,1941-05-30T00:00:00Z
Dana Rucker,1868-01-28T00:00:00Z
Dana X. Bible,1891-10-08T00:00:00Z
Danny Langsdorf,1972-06-28T00:00:00Z
Danny Smith,1953-09-07T00:00:00Z
Daron Roberts,1978-11-29T00:00:00Z
Harry Applequist,1890-01-01T00:00:00Z
Klay Kubiak,1988-10-10T00:00:00Z
Dick Foster,1934-01-24T00:00:00Z
John Hauser,1980-02-27T00:00:00Z
Charles Simmons,1931-09-15T00:00:00Z
Nate O'Neal,1978-03-25T00:00:00Z
Wesley Beschorner,1982-11-11T00:00:00Z
Dan Dorazio,1952-01-01T00:00:00Z
John H. Squires,1892-01-01T00:00:00Z
Tim Crisp,1907-08-13T00:00:00Z
George Cooper Sr.,1952-01-01T00:00:00Z
John Paul Young,1939-12-31T00:00:00Z
Jim Miller,1932-03-27T00:00:00Z
John Paul Young,1939-12-31T00:00:00Z
Dane Wardenburg,1987-01-01T00:00:00Z
Daniel Catalano,1987-01-01T00:00:00Z
Frederick Mitchell Walker,1884-03-21T00:00:00Z
Malachy Sullivan,1893-08-21T00:00:00Z
Jack Cusack,1890-11-17T00:00:00Z
Robert Duffy,1903-05-13T00:00:00Z
Walt Harris,1946-11-09T00:00:00Z
Walter H. Watkins,1878-02-23T00:00:00Z
Walter Koppisch,1901-06-06T00:00:00Z
Walter S. Davis,1905-08-09T00:00:00Z
Walter S. Kennedy,1873-01-01T00:00:00Z
Dave Baldwin,1955-03-22T00:00:00Z
Dave Brazil,1936-03-25T00:00:00Z
Dave Campo,1947-07-18T00:00:00Z
Dave Drake,1918-07-09T00:00:00Z
Dave Dye,1945-01-08T00:00:00Z
Dave Fipp,1974-08-08T00:00:00Z
Dave Hoover,1942-07-13T00:00:00Z
Dave McGinnis,1951-08-07T00:00:00Z
Aaron Glenn,1972-07-16T00:00:00Z
Aaron Kromer,1967-04-30T00:00:00Z
Aaron Roderick,1972-12-20T00:00:00Z
Abe Gibron,1925-09-22T00:00:00Z
Adam Walsh,1901-12-04T00:00:00Z
Mike Vrabel,1975-08-14T00:00:00Z
Al Davis,1929-07-04T00:00:00Z
Walt Kiesling,1903-05-27T00:00:00Z
Alfred E. Bull,1867-02-05T00:00:00Z
Alfred W. Debo,1877-11-15T00:00:00Z
Algy Clark,1904-05-07T00:00:00Z
Allen Elward,1892-06-23T00:00:00Z
Allen Rudolph,1971-02-10T00:00:00Z
Allie Sherman,1923-02-10T00:00:00Z
Romeo Crennel,1947-06-18T00:00:00Z
Joe Paterno,1926-12-21T00:00:00Z
Greg Schiano,1966-06-01T00:00:00Z
Vince Lombardi,1913-06-11T00:00:00Z
Ray Richards,1906-07-16T00:00:00Z
Lyman E. Abbott,1912-03-01T00:00:00Z
Karl Spear,1910-12-15T00:00:00Z
Warren Woody,1897-10-13T00:00:00Z
Howard Jefferson,1901-09-28T00:00:00Z
Joe Thomas,1921-03-18T00:00:00Z
Clair L. Gleason,1923-05-17T00:00:00Z
Howard Lynch,1908-01-01T00:00:00Z
Dennis Allen,1972-09-22T00:00:00Z
Curly Lambeau,1898-04-09T00:00:00Z
Dennis Erickson,1947-03-24T00:00:00Z
Les Steckel,1946-07-01T00:00:00Z
Mike Ditka,1939-10-18T00:00:00Z
Ernie Nevers,1902-06-11T00:00:00Z
Ernie Nevers,1902-07-11T00:00:00Z
Alonzo Edwin Branch,1874-04-30T00:00:00Z
Amos P. Foster,1880-03-10T00:00:00Z
Andy Coen,1964-06-20T00:00:00Z
Scrappy Moore,1902-09-25T00:00:00Z
Anthony Lynn,1968-12-21T00:00:00Z
Bobby Thompson,1937-08-02T00:00:00Z
Bobby Wallace,1954-09-17T00:00:00Z
Chad Smith,1981-06-15T00:00:00Z
Omar Hales,1985-07-06T00:00:00Z
Blake Harrell,1979-10-20T00:00:00Z
Reed Stringer,1979-01-26T00:00:00Z
Pete Alamar,1960-09-28T00:00:00Z
Luke Butts,1990-01-18T00:00:00Z
Paul Huebner,1983-07-04T00:00:00Z
Billy Crawford,1864-11-11T00:00:00Z
Mike Rasmussen,1950-06-18T00:00:00Z
Carl Ferrill,1946-01-01T00:00:00Z
Obie O'Neal,1925-06-17T00:00:00Z
Gayton Salvucci,1928-05-08T00:00:00Z
Henry A. Johnson,1911-10-01T00:00:00Z
Don Riley,1933-05-10T00:00:00Z
Buck Freeman,1902-02-16T00:00:00Z
Wallace Pinson,1888-11-04T00:00:00Z
Luther Leonard,1884-02-28T00:00:00Z
Monte Moore,1891-12-09T00:00:00Z
Jere Austill,1890-10-07T00:00:00Z
S. R. Batson,1884-11-01T00:00:00Z
Tom Landry,1924-09-11T00:00:00Z
Tom Coughlin,1946-08-31T00:00:00Z
Forrest Gregg,1933-10-18T00:00:00Z
William O'Brien,1923-03-11T00:00:00Z
William Penn Bates,1879-06-07T00:00:00Z
Willie Smith,1931-11-30T00:00:00Z
Willie Varner,1926-05-22T00:00:00Z
Willy Robinson,1956-02-10T00:00:00Z
Yale Murphy,1869-10-11T00:00:00Z
Zac Taylor,1983-05-10T00:00:00Z
Warner McCollum,1933-02-28T00:00:00Z
Warren B. Woodson,1903-02-24T00:00:00Z
Warren Giese,1924-07-14T00:00:00Z
Warren Harper,1932-01-01T00:00:00Z
Warren Wolf,1927-08-01T00:00:00Z
Wayne Brenkert,1898-03-05T00:00:00Z
Herbert McIntyre,1875-04-06T00:00:00Z
Herman Ball,1910-05-09T00:00:00Z
Herman Stegeman,1891-01-21T00:00:00Z
Hinkey Haines,1898-12-23T00:00:00Z
Homer C. Martin,1898-06-22T00:00:00Z
Dave Shula,1959-05-28T00:00:00Z
Dave Wannstedt,1952-05-21T00:00:00Z
David Bennett,1961-12-02T00:00:00Z
David Duggan,1963-07-16T00:00:00Z
David Elson,1971-08-26T00:00:00Z
David L. Dunlap,1877-12-07T00:00:00Z
Hugh Devore,1910-11-25T00:00:00Z
Jim Spruill,1923-02-26T00:00:00Z
Hugh Taylor,1923-07-06T00:00:00Z
Hugo Bezdek,1884-04-01T00:00:00Z
Ignatius M. Duffy,1875-01-27T00:00:00Z
Don Shula,1930-01-04T00:00:00Z
Joe Gibbs,1940-11-25T00:00:00Z
Eddie Robinson,1919-02-13T00:00:00Z
John Madden,1936-04-10T00:00:00Z
Ivan Fears,1954-11-15T00:00:00Z
Jim Leonard,1910-02-14T00:00:00Z
John Levra,1937-10-02T00:00:00Z
J. D. Roberts,1932-10-24T00:00:00Z
Hugh Campbell,1941-05-21T00:00:00Z
Lowell Dana,1891-02-26T00:00:00Z
Roland K. Bernard,1916-03-14T00:00:00Z
Charles Henderson,1946-12-17T00:00:00Z
Dan Robinson,1926-01-01T00:00:00Z
Dan Robinson,1926-07-17T00:00:00Z
Frank Kush,1929-01-20T00:00:00Z
Bob Blasi,1930-09-24T00:00:00Z
Jag Bal,1983-01-01T00:00:00Z
Spencer Danielson,1988-11-11T00:00:00Z
Elijah Robinson,1985-05-25T00:00:00Z
Erik Hansen,1999-03-09T00:00:00Z
Jon Poppe,1984-12-22T00:00:00Z
Bill Busch,1965-04-27T00:00:00Z
Kendall Coleman,1998-04-01T00:00:00Z
JoJo Wooden,1969-10-14T00:00:00Z
Jason A. Staples,1982-01-01T00:00:00Z
Billy Taylor,1964-04-17T00:00:00Z
Earl Harvey,1967-06-26T00:00:00Z
Ernest C. White,1872-03-12T00:00:00Z
Justin Hood,1986-06-27T00:00:00Z
Martin Delaney,1872-01-10T00:00:00Z
Marco Polizzi,1972-01-09T00:00:00Z
Mike Manley,1951-05-01T00:00:00Z
Jerry Louthan,1938-03-31T00:00:00Z
Jay Anderson,1973-01-01T00:00:00Z
Kris Diaz,1955-01-01T00:00:00Z
Frederick Buchholz,1885-07-26T00:00:00Z
Al Baldock,1929-12-17T00:00:00Z
"Jack Bicknell, Jr.",1963-02-07T00:00:00Z
Jack Burns,1949-01-03T00:00:00Z
Jack C. Rowan,1911-03-22T00:00:00Z
Jack Chevigny,1906-08-14T00:00:00Z
Jack E. Ingersoll,1889-02-24T00:00:00Z
Jack Faulkner,1926-04-04T00:00:00Z
Jack Fish,1892-05-01T00:00:00Z
Jack Forsyth,1892-05-04T00:00:00Z
Anthony Reno,1974-01-01T00:00:00Z
Archie Cooley,1939-03-18T00:00:00Z
Archie Golembeski,1900-05-25T00:00:00Z
Arnold Horween,1898-07-07T00:00:00Z
Arnold L. Kirkpatrick,1886-12-23T00:00:00Z
Art Lewis,1911-02-09T00:00:00Z
Timmy Chang,1981-10-09T00:00:00Z
Gus Dorais,1891-07-02T00:00:00Z
James Franklin,1972-02-02T00:00:00Z
Ray Goff,1955-07-19T00:00:00Z
Marco Chochón,1988-11-05T00:00:00Z
Ira Pratt,1883-01-01T00:00:00Z
J. A. Pierce,1874-08-31T00:00:00Z
J. B. McArthur,1900-01-01T00:00:00Z
J. C. Harper,1965-12-13T00:00:00Z
J. E. Platt,1878-12-11T00:00:00Z
J. Lewis Ingles,1876-01-01T00:00:00Z
J. Nort Atkinson,1877-10-06T00:00:00Z
Jimmy Conzelman,1898-03-06T00:00:00Z
Tom Fears,1922-12-03T00:00:00Z
Frank Leander Sundstrom,1901-01-05T00:00:00Z
W. G. Thompson,1865-08-15T00:00:00Z
Moses W. Games,1873-03-23T00:00:00Z
"W. S. Renn, Jr.",1928-05-31T00:00:00Z
Wade Harman,1963-10-01T00:00:00Z
Wallace Wade,1892-06-15T00:00:00Z
Wallace Winter,1872-08-08T00:00:00Z
Wally English,1939-06-28T00:00:00Z
