season,team_name,head_coach,off_coord,def_coord,st_coord
2003,Denver Broncos,Mike Shanahan,,,
2003,Detroit Lions,Steve Mariucci,,,
2003,Green Bay Packers,Mike Sherman,,,
2003,Houston Texans,Dom Capers,,,
2003,Indianapolis Colts,Tony Dungy,,,
2003,Jacksonville Jaguars,Jack Del Rio,Bill Musgrave,Mike Smith,
2003,Kansas City Chiefs,Dick Vermeil,,,
2003,Miami Dolphins,Dave Wannstedt,,,
2003,Minnesota Vikings,Mike Tice,,,
2003,New England Patriots,Bill Belichick,,,
2003,New Orleans Saints,Jim Haslett,,,
2003,New York Giants,Jim Fassel,,,
2003,New York Jets,Herman Edwards,,,
2003,Philadelphia Eagles,Andy Reid,,,
2003,Pittsburgh Steelers,Bill Cowher,,,
2003,San Francisco 49ers,Dennis Erickson,,,
2003,Seattle Seahawks,Mike Holmgren,,,
2003,Tampa Bay Buccaneers,Jon Gruden,,,
2003,Tennessee Titans,Jeff Fisher,,,
2003,St. Louis Rams,Mike Martz,,,
2003,San Diego Chargers,Marty Schottenheimer,,,
2003,Oakland Raiders,Bill Callahan,,,
2003,Washington Redskins,Steve Spurrier,,,
2004,Arizona Cardinals,Dennis Green,,,
2004,Atlanta Falcons,Jim Mora,,,
2004,Baltimore Ravens,Brian Billick,,,
2004,Buffalo Bills,Mike Mularkey,,,
2004,Carolina Panthers,John Fox,,,
2004,Chicago Bears,Lovie Smith,,,
2004,Cincinnati Bengals,Marvin Lewis,,,
2004,Cleveland Browns,"Butch Davis (resigned November 30, 3–8 record) ; Terry Robiskie (1–4 record) (interim)",,,
2004,Dallas Cowboys,Bill Parcells,,,
2004,Denver Broncos,Mike Shanahan,,,
2004,Detroit Lions,Steve Mariucci,,,
2004,Green Bay Packers,Mike Sherman,,,
2004,Houston Texans,Dom Capers,,,
2004,Indianapolis Colts,Tony Dungy,,,
2004,Jacksonville Jaguars,Jack Del Rio,Bill Musgrave,Mike Smith,
2004,Kansas City Chiefs,Dick Vermeil,,,
2004,Miami Dolphins,"Dave Wannstedt (resigned November 9; 1–8 record); Jim Bates (3–4 record, interim)",,,
2004,Minnesota Vikings,Mike Tice,,,
2004,New England Patriots,Bill Belichick,,,
2004,New Orleans Saints,Jim Haslett,,,
2004,New York Giants,Tom Coughlin,,,
2004,New York Jets,Herman Edwards,,,
2004,Philadelphia Eagles,Andy Reid,,,
2004,Pittsburgh Steelers,Bill Cowher,,,
2004,San Francisco 49ers,Dennis Erickson,,,
2004,Seattle Seahawks,Mike Holmgren,,,
2004,Tampa Bay Buccaneers,Jon Gruden,,,
2004,Tennessee Titans,Jeff Fisher,,,
2004,St. Louis Rams,Mike Martz,,,
2004,San Diego Chargers,Marty Schottenheimer,,,
2004,Oakland Raiders,Norv Turner,,,
2004,Washington Redskins,Joe Gibbs,,,
2005,Arizona Cardinals,Dennis Green,,,
2005,Atlanta Falcons,Jim Mora,,,
2005,Baltimore Ravens,Brian Billick,,,
2005,Buffalo Bills,Mike Mularkey,,,
2005,Carolina Panthers,John Fox,,,
2005,Chicago Bears,Lovie Smith,,,
2005,Cincinnati Bengals,Marvin Lewis,,,
2005,Cleveland Browns,Romeo Crennel,,,
2005,Dallas Cowboys,Bill Parcells,,,
2005,Denver Broncos,Mike Shanahan,Gary Kubiak,Larry Coyer,
2005,Detroit Lions,Steve Mariucci ; Dick Jauron,,,
2005,Green Bay Packers,Mike Sherman,,,
2005,Houston Texans,Dom Capers,,,
2005,Indianapolis Colts,Tony Dungy,,,
2005,Jacksonville Jaguars,Jack Del Rio,Carl Smith,Mike Smith,
2005,Kansas City Chiefs,Dick Vermeil,,,
2005,Miami Dolphins,Nick Saban,,,
2005,Minnesota Vikings,Mike Tice,,,
2005,New England Patriots,Bill Belichick,,,
2005,New Orleans Saints,Jim Haslett,,,
2005,New York Giants,Tom Coughlin,,,
2005,New York Jets,Herman Edwards,,,
2005,Philadelphia Eagles,Andy Reid,,,
2005,Pittsburgh Steelers,Bill Cowher,,,
2005,San Francisco 49ers,Mike Nolan,,,
2005,Seattle Seahawks,Mike Holmgren,,,
2005,Tampa Bay Buccaneers,Jon Gruden,,,
2005,Tennessee Titans,Jeff Fisher,,,
2005,St. Louis Rams,Mike Martz (Weeks 1–5); Joe Vitt (Interim; Weeks 6–17),,,
2005,San Diego Chargers,Marty Schottenheimer,,,
2005,Oakland Raiders,Norv Turner,,,
2005,Washington Redskins,Joe Gibbs,,,
2006,Arizona Cardinals,Dennis Green,,,
2006,Atlanta Falcons,Jim Mora,Greg Knapp,Ed Donatell,
2006,Baltimore Ravens,Brian Billick,Jim Fassel (fired Oct 17),Rex Ryan,
2006,Buffalo Bills,Dick Jauron,,,
2006,Carolina Panthers,John Fox,Dan Henning,Mike Trgovac,
2006,Chicago Bears,Lovie Smith,Ron Turner,Ron Rivera,
2006,Cincinnati Bengals,Marvin Lewis,Bob Bratkowski,Chuck Bresnahan,
2006,Cleveland Browns,Romeo Crennel,,,
2006,Dallas Cowboys,Bill Parcells,| def_coach       = Mike Zimmer,,
2006,Denver Broncos,Mike Shanahan,Rick Dennison,Larry Coyer,
2006,Detroit Lions,Rod Marinelli,Mike Martz,Donnie Henderson,
2006,Green Bay Packers,Mike McCarthy,,,
2006,Houston Texans,Gary Kubiak,Troy Calhoun,Richard Smith,
2006,Indianapolis Colts,Tony Dungy,Tom Moore,Ron Meeks,
2006,Jacksonville Jaguars,Jack Del Rio,Carl Smith,Mike Smith,
2006,Kansas City Chiefs,Herm Edwards,Mike Solari,Gunther Cunningham,
2006,Miami Dolphins,Nick Saban,,,
2006,Minnesota Vikings,Brad Childress,,,
2006,New England Patriots,Bill Belichick,Josh McDaniels,Dean Pees,
2006,New Orleans Saints,Sean Payton,Doug Marrone,Gary Gibbs,
2006,New York Giants,Tom Coughlin,John Hufnagel,Tim Lewis,
2006,New York Jets,Eric Mangini,Brian Schottenheimer,Bob Sutton,
2006,Philadelphia Eagles,Andy Reid,Marty Mornhinweg,Jim Johnson,
2006,Pittsburgh Steelers,Bill Cowher,Ken Whisenhunt,Dick LeBeau,
2006,San Francisco 49ers,Mike Nolan,Norv Turner,Bill Davis,
2006,Seattle Seahawks,Mike Holmgren,Gil Haskell,John Marshall,
2006,Tampa Bay Buccaneers,Jon Gruden,,,
2006,Tennessee Titans,Jeff Fisher,,,
2006,St. Louis Rams,Scott Linehan,,,
2006,San Diego Chargers,Marty Schottenheimer,Cam Cameron,Wade Phillips,
2006,Oakland Raiders,Art Shell,,,
2006,Washington Redskins,Joe Gibbs,Al Saunders,Gregg Williams,
2007,Arizona Cardinals,Ken Whisenhunt,,,
2007,Atlanta Falcons,"Bobby Petrino (resigned December 10, 3-10 record) ; Emmitt Thomas",,,
2007,Baltimore Ravens,Brian Billick,Rick Neuheisel,Rex Ryan,
2007,Buffalo Bills,Dick Jauron,,,
2007,Carolina Panthers,John Fox,Jeff Davidson,Mike Trgovac,
2007,Chicago Bears,Lovie Smith,Ron Turner,Bob Babich,
2007,Cincinnati Bengals,Marvin Lewis,Bob Bratkowski,Chuck Bresnahan,
2007,Cleveland Browns,Romeo Crennel,,,
2007,Dallas Cowboys,Wade Phillips,Jason Garrett,Brian Stewart,
2007,Denver Broncos,Mike Shanahan,Rick Dennison,Bob Slowik,
2007,Detroit Lions,Rod Marinelli,,,
2007,Green Bay Packers,Mike McCarthy,Joe Philbin,Bob Sanders,
2007,Houston Texans,Gary Kubiak,Mike Sherman,Richard Smith,
2007,Indianapolis Colts,Tony Dungy,Tom Moore,Ron Meeks,
2007,Jacksonville Jaguars,Jack Del Rio,Dirk Koetter,Mike Smith,
2007,Kansas City Chiefs,Herm Edwards,Mike Solari,Gunther Cunningham,
2007,Miami Dolphins,Cam Cameron,,,
2007,Minnesota Vikings,Brad Childress,,,
2008,Cincinnati Bengals,Marvin Lewis,,,
2008,Cleveland Browns,Romeo Crennel,,,
2008,Dallas Cowboys,Wade Phillips,,,
2008,Denver Broncos,Mike Shanahan,Rick Dennison,Bob Slowik,
2008,Detroit Lions,Rod Marinelli,,,
2008,Green Bay Packers,Mike McCarthy,,,
2008,Houston Texans,Gary Kubiak,Kyle Shanahan,Richard Smith,
2008,Indianapolis Colts,Tony Dungy,Tom Moore,Ron Meeks,
2008,Jacksonville Jaguars,Jack Del Rio,Dirk Koetter,Gregg Williams,
2008,Kansas City Chiefs,Herm Edwards,Chan Gailey,Gunther Cunningham,
2008,Miami Dolphins,Tony Sparano,Dan Henning,Paul Pasqualoni,
2008,Minnesota Vikings,Brad Childress,Darrell Bevell,Leslie Frazier,
2008,New England Patriots,Bill Belichick,,,
2008,New Orleans Saints,Sean Payton,,,
2008,New York Giants,Tom Coughlin,Kevin Gilbride,Steve Spagnuolo,
2008,New York Jets,Eric Mangini,,,
2008,Philadelphia Eagles,Andy Reid,Marty Mornhinweg,Jim Johnson,
2008,Pittsburgh Steelers,Mike Tomlin,Bruce Arians,Dick LeBeau,
2008,San Francisco 49ers,"Mike Nolan (fired October 20, 2–5 record);  Mike Singletary (interim, 5–4 record)",Mike Martz,Greg Manusky,
2008,Seattle Seahawks,Mike Holmgren,,,
2008,Tampa Bay Buccaneers,Jon Gruden,,,
2008,Tennessee Titans,Jeff Fisher,Mike Heimerdinger,Jim Schwartz,
2008,St. Louis Rams,"Scott Linehan (fired September 29, 0–4 record); Jim Haslett (interim, 2–10 record)",,,
2008,San Diego Chargers,Norv Turner,Clarence Shelmon,"Ted Cottrell (fired on October 28, 2008); Ron Rivera (interim)",
2008,Oakland Raiders,"Lane Kiffin (fired September 30, 1-3 record); Tom Cable (interim, 4-8 record)",,,
2008,Washington Redskins,Jim Zorn,Sherman Smith,Greg Blache,
2009,Arizona Cardinals,Ken Whisenhunt,| def_coach       = Billy Davis,,
2009,Atlanta Falcons,Mike Smith,,,
2009,Baltimore Ravens,John Harbaugh,Cam Cameron,Greg Mattison,
2009,Buffalo Bills,"Dick Jauron (fired November 17, 3–6 record); Perry Fewell (interim, 3–4 record)",,,
2009,Carolina Panthers,John Fox,,,
2009,Chicago Bears,Lovie Smith,,,
2009,Cincinnati Bengals,Marvin Lewis,Bob Bratkowski,Mike Zimmer,
2009,Cleveland Browns,Eric Mangini,,,
2009,Dallas Cowboys,Wade Phillips,Jason Garrett,| general_manager = Jerry Jones,
2009,Denver Broncos,Josh McDaniels,,,
2009,Detroit Lions,Jim Schwartz,,,
2009,Green Bay Packers,Mike McCarthy,Joe Philbin,Dom Capers,
2009,Houston Texans,Gary Kubiak,Kyle Shanahan,Frank Bush,
2009,Indianapolis Colts,Jim Caldwell,Tom Moore,Larry Coyer,
2009,Jacksonville Jaguars,Jack Del Rio,Dirk Koetter,Mel Tucker,
2009,Kansas City Chiefs,Todd Haley,,,
2009,Miami Dolphins,Tony Sparano,,,
2009,Minnesota Vikings,Brad Childress,Darrell Bevell,Leslie Frazier,
2009,New England Patriots,Bill Belichick,| def_coach       = Dean Pees,,
2009,New Orleans Saints,Sean Payton,Pete Carmichael Jr.,Gregg Williams,
2009,New York Giants,Tom Coughlin,,,
2009,New York Jets,Rex Ryan,Brian Schottenheimer,Mike Pettine,
2009,Philadelphia Eagles,Andy Reid,Marty Mornhinweg,Sean McDermott,
2009,Pittsburgh Steelers,Mike Tomlin,Bruce Arians,Dick LeBeau,
2009,San Francisco 49ers,Mike Singletary,Jimmy Raye,Greg Manusky,
2009,Seattle Seahawks,Jim L. Mora,,,
2009,Tampa Bay Buccaneers,Raheem Morris,,,
2009,Tennessee Titans,Jeff Fisher,,,
2009,St. Louis Rams,Steve Spagnuolo,,,
2009,San Diego Chargers,Norv Turner,Clarence Shelmon,Ron Rivera,
2009,Oakland Raiders,Tom Cable,,,
2009,Washington Redskins,Jim Zorn,Sherman Lewis,Greg Blache,
2010,Arizona Cardinals,Ken Whisenhunt,,,
2010,Atlanta Falcons,Mike Smith,Mike Mularkey,Brian VanGorder,
2010,Baltimore Ravens,John Harbaugh,Cam Cameron,Greg Mattison,
2010,Buffalo Bills,Chan Gailey,,,
2010,Carolina Panthers,John Fox,,,
2010,Chicago Bears,Lovie Smith,Mike Martz,Rod Marinelli,
2010,Cincinnati Bengals,Marvin Lewis,,,
2010,Cleveland Browns,Eric Mangini,Brian Daboll,Rob Ryan,
2010,Dallas Cowboys,"Wade Phillips (fired November 8, 1–7 record); Jason Garrett (interim, 5–3 record)",,,
2010,Denver Broncos,Josh McDaniels (fired on December 6; 3–9 record); Eric Studesville (interim; 1–3 record),,,
2010,Detroit Lions,Jim Schwartz,,,
2010,Green Bay Packers,Mike McCarthy,Joe Philbin,Dom Capers,
2010,Houston Texans,Gary Kubiak,Rick Dennison,Frank Bush,
2010,Indianapolis Colts,Jim Caldwell,Clyde Christensen,Larry Coyer,
2010,Jacksonville Jaguars,Jack Del Rio,Dirk Koetter,Mel Tucker,
2010,Kansas City Chiefs,Todd Haley,Charlie Weis,Romeo Crennel,
2010,Miami Dolphins,Tony Sparano,,,
2010,Minnesota Vikings,Brad Childress (fired on November 22; 3–7 record); Leslie Frazier (interim; 3–3 record),,,
2010,New England Patriots,Bill Belichick,,,
2010,New Orleans Saints,Sean Payton,Pete Carmichael Jr.,Gregg Williams,
2010,New York Giants,Tom Coughlin,,,
2010,New York Jets,Rex Ryan,Brian Schottenheimer,Mike Pettine,
2010,Philadelphia Eagles,Andy Reid,Marty Mornhinweg,Sean McDermott,
2010,Pittsburgh Steelers,Mike Tomlin,Bruce Arians,Dick LeBeau,
2010,San Francisco 49ers,"Mike Singletary (fired December 26, 5–10 record); Jim Tomsula (interim, 1–0 record)",Jimmy Raye,Greg Manusky,
2010,Seattle Seahawks,Pete Carroll,Jeremy Bates,Gus Bradley,
2010,Tampa Bay Buccaneers,Raheem Morris,,,
2010,Tennessee Titans,Jeff Fisher,,,
2010,St. Louis Rams,Steve Spagnuolo,,,
2010,San Diego Chargers,Norv Turner,,,
2010,Oakland Raiders,Tom Cable,,,
2010,Washington Redskins,Mike Shanahan,Kyle Shanahan,Jim Haslett,
2011,Arizona Cardinals,Ken Whisenhunt,,,
2011,Atlanta Falcons,Mike Smith,Mike Mularkey,Brian VanGorder,
2011,Baltimore Ravens,John Harbaugh,Cam Cameron,Chuck Pagano,
2011,Buffalo Bills,Chan Gailey,,,
2011,Carolina Panthers,Ron Rivera,,,
2011,Chicago Bears,Lovie Smith,,,
2011,Cincinnati Bengals,Marvin Lewis,Jay Gruden,Mike Zimmer,
2011,Cleveland Browns,Pat Shurmur,,Dick Jauron,
2011,Dallas Cowboys,Jason Garrett,,,
2011,Denver Broncos,John Fox,Mike McCoy,Dennis Allen,
2011,Detroit Lions,Jim Schwartz,Scott Linehan,Gunther Cunningham,
2011,Green Bay Packers,Mike McCarthy,Joe Philbin,Dom Capers,
2011,Houston Texans,Gary Kubiak,Rick Dennison,Wade Phillips,
2011,Indianapolis Colts,Jim Caldwell,,,
2011,Jacksonville Jaguars,Jack Del Rio (fired November 29; 3–8 record); Mel Tucker (interim; 2–3 record),Dirk Koetter,Mel Tucker,
2011,Kansas City Chiefs,"Todd Haley (fired Dec. 12, 5–8 record); Romeo Crennel (interim, 2–1 record)",Bill Muir,Romeo Crennel,
2011,Miami Dolphins,Tony Sparano (fired on December 12; 4–9 record); Todd Bowles (interim; 2–1 record),,,
2011,Minnesota Vikings,Leslie Frazier,,,
2011,New England Patriots,Bill Belichick,Bill O'Brien,| owner = Robert Kraft,
2011,New Orleans Saints,Sean Payton,Pete Carmichael Jr.,Gregg Williams,
2011,New York Giants,Tom Coughlin,,,
2011,New York Jets,Rex Ryan,,,
2011,Philadelphia Eagles,Andy Reid,,,
2011,Pittsburgh Steelers,Mike Tomlin,Bruce Arians,Dick LeBeau,
2011,San Francisco 49ers,Jim Harbaugh,Greg Roman,Vic Fangio,
2011,Seattle Seahawks,Pete Carroll,,,
2011,Tampa Bay Buccaneers,Raheem Morris,,,
2011,Tennessee Titans,Mike Munchak,,,
2011,St. Louis Rams,Steve Spagnuolo,,,
2011,San Diego Chargers,Norv Turner,,,
2011,Oakland Raiders,Hue Jackson,,,
2011,Washington Redskins,Mike Shanahan,Kyle Shanahan,Jim Haslett,
2012,Arizona Cardinals,Ken Whisenhunt,,,
2012,Atlanta Falcons,Mike Smith,Dirk Koetter,Mike Nolan,
2012,Baltimore Ravens,John Harbaugh,Cam Cameron (fired Dec 10);  Jim Caldwell (interim),Dean Pees,
2012,Buffalo Bills,Chan Gailey,,,
2012,Carolina Panthers,Ron Rivera,,,
2012,Chicago Bears,Lovie Smith,,,
2012,Cincinnati Bengals,Marvin Lewis,Jay Gruden,Mike Zimmer,
2012,Cleveland Browns,Pat Shurmur,,,
2012,Dallas Cowboys,Jason Garrett,,,
2012,Denver Broncos,John Fox,Mike McCoy,Jack Del Rio,
2012,Detroit Lions,Jim Schwartz,Scott Linehan,Gunther Cunningham,
2012,Green Bay Packers,Mike McCarthy,Tom Clements,Dom Capers,
2012,Houston Texans,Gary Kubiak,Rick Dennison,Wade Phillips,
2012,Indianapolis Colts,Chuck Pagano ;  Bruce Arians (interim; weeks 5–16),Bruce Arians,Greg Manusky,
2012,Jacksonville Jaguars,Mike Mularkey,Bob Bratkowski,Mel Tucker,
2012,Kansas City Chiefs,Romeo Crennel,Brian Daboll,| owner = The Hunt family ;  (Clark Hunt Chairman and CEO),
2012,Miami Dolphins,Joe Philbin,,,
2012,Minnesota Vikings,Leslie Frazier,Bill Musgrave,Alan Williams,
2012,New England Patriots,Bill Belichick,Josh McDaniels,Matt Patricia,
2012,New Orleans Saints,"Sean Payton (suspended entire season); Joe Vitt (Interim, games 7–16); Aaron Kromer (Interim, games 1–6)",,,
2012,New York Giants,Tom Coughlin,,,
2012,New York Jets,Rex Ryan,,,
2012,Philadelphia Eagles,Andy Reid,,,
2012,Pittsburgh Steelers,Mike Tomlin,Todd Haley,Dick LeBeau,
2012,San Francisco 49ers,Jim Harbaugh,Greg Roman,Vic Fangio,
2012,Seattle Seahawks,Pete Carroll,Darrell Bevell,Gus Bradley,
2012,Tampa Bay Buccaneers,Greg Schiano,,,
2012,Tennessee Titans,Mike Munchak,,,
2012,St. Louis Rams,Jeff Fisher,,,
2012,San Diego Chargers,Norv Turner,,,
2012,Oakland Raiders,Dennis Allen,,,
2012,Washington Redskins,Mike Shanahan,Kyle Shanahan,Jim Haslett,
2013,Arizona Cardinals,Bruce Arians,,,
2013,Atlanta Falcons,Mike Smith,,,
2013,Baltimore Ravens,John Harbaugh,Jim Caldwell,Dean Pees,
2013,Buffalo Bills,Doug Marrone,,,
2013,Carolina Panthers,Ron Rivera,Mike Shula,Sean McDermott,
2013,Chicago Bears,Marc Trestman,,,
2013,Cincinnati Bengals,Marvin Lewis,Jay Gruden,Mike Zimmer,
2013,Cleveland Browns,Rob Chudzinski,,,
2013,Dallas Cowboys,Jason Garrett,,,
2013,Denver Broncos,"John Fox; Jack Del Rio (interim, weeks 10–13)",Adam Gase,Jack Del Rio,
2013,Detroit Lions,Jim Schwartz,Scott Linehan,Gunther Cunningham,
2013,Green Bay Packers,Mike McCarthy,Tom Clements,Dom Capers,
2013,Houston Texans,"Gary Kubiak (fired on December 6, 2–11 record); Wade Phillips (Interim during Week 10 while Kubiak recovered from a mini-stroke; Interim from Weeks 15–17, 0–3 record)",Rick Dennison,Wade Phillips,
2013,Indianapolis Colts,Chuck Pagano,Pep Hamilton,Greg Manusky,
2013,Jacksonville Jaguars,Gus Bradley,Jedd Fisch,Bob Babich,
2013,Kansas City Chiefs,Andy Reid,Doug Pederson,Bob Sutton,
2013,Miami Dolphins,Joe Philbin,,,
2013,Minnesota Vikings,Leslie Frazier,,,
2013,New England Patriots,Bill Belichick,Josh McDaniels,Matt Patricia,
2013,New Orleans Saints,Sean Payton,Pete Carmichael Jr.,Rob Ryan,
2013,New York Giants,Tom Coughlin,,,
2013,New York Jets,Rex Ryan,,,
2013,Philadelphia Eagles,Chip Kelly,Pat Shurmur,Billy Davis,
2013,Pittsburgh Steelers,Mike Tomlin,Todd Haley,Dick LeBeau,
2013,San Francisco 49ers,Jim Harbaugh,Greg Roman,Vic Fangio,
2013,Seattle Seahawks,Pete Carroll,Darrell Bevell,Dan Quinn,
2013,Tampa Bay Buccaneers,Greg Schiano,,,
2013,Tennessee Titans,Mike Munchak,,,
2013,St. Louis Rams,Jeff Fisher,,,
2013,San Diego Chargers,Mike McCoy,Ken Whisenhunt,John Pagano,
2013,Oakland Raiders,Dennis Allen,,,
2013,Washington Redskins,Mike Shanahan,Kyle Shanahan,Jim Haslett,
2014,Arizona Cardinals,Bruce Arians,Harold Goodwin,Todd Bowles,
2014,Atlanta Falcons,Mike Smith,,,
2014,Baltimore Ravens,John Harbaugh,Gary Kubiak,Dean Pees,
2014,Buffalo Bills,Doug Marrone,,,
2014,Carolina Panthers,Ron Rivera,Mike Shula,Sean McDermott,
2014,Chicago Bears,Marc Trestman,,,
2014,Cincinnati Bengals,Marvin Lewis,Hue Jackson,Paul Guenther,
2014,Cleveland Browns,Mike Pettine,,,
2014,Dallas Cowboys,Jason Garrett,Bill Callahan,Rod Marinelli,
2014,Denver Broncos,John Fox,Adam Gase,Jack Del Rio,
2014,Detroit Lions,Jim Caldwell,Joe Lombardi,Teryl Austin,
