caller,seasons,n,gap,r11,rHV,a11,aHV,epa_all,epa_run,epa_pass
Jim Schwartz,3,3018,41.042388699452,-8.54137881373381,31.5671347133438,8.92857142857143,63.6298421807748,-0.135048006642627,-0.118413335206219,-0.148812266576758
Jimmy Lake,1,1036,22.2761561755639,-13.107372635771,9.16878353979293,4.59940652818991,42.817679558011,0.0366721068536851,-0.0143735208863791,0.0750611011146863
Joe Barry,2,2102,28.1719203094413,-13.5064045841603,14.6617662579265,5.02476999292286,48.766328011611,-0.0128389691396525,0.00127845685783056,-0.0250128643621441
Joe Whitt Jr.,2,1792,32.1353768898365,-11.8198825142873,20.3019018870466,7.13073005093379,53.5830618892508,0.0494968532500505,-0.00179772094944144,0.0955181534664166
Joe Woods,2,1548,31.8131914379534,-12.6581241713516,21.6691864258979,6.31808278867103,53.6507936507937,0.00306837441232586,0.0435053329908475,-0.0315313514959553
Jonathan Gannon,1,1205,26.8962123631826,-8.40790257919924,18.4883097839833,6.68449197860965,43.9824945295405,-0.108147902136025,0.0128587247865174,-0.196589006232388
Josh Boyer,1,1110,41.0056591669721,-7.9058979662793,33.0997612006928,9.19881305637982,66.2844036697248,-0.0407671873507592,-0.0630086011078674,-0.0267331685293731
Kelvin Sheppard,1,1014,33.2292255161144,-8.69830404314728,24.5309214729671,3.125,54.5936395759717,-0.0341881123695162,-0.032328258309255,-0.0355614483146775
Leslie Frazier,1,1102,18.6373212774679,-12.2227758429997,6.41454543446814,4.38472418670438,31.8987341772152,-0.0810971412489889,-0.105248944931019,-0.0657940587435649
Lou Anarumo,4,4296,31.8950031991814,-10.0183231760655,21.3799499676337,6.89655172413793,52.3036988968203,-0.0294076273130254,-0.0441816332250388,-0.0187460914942125
Lovie Smith,1,1093,39.5661302617929,-15.5626053075961,24.0035249541968,3.49344978165938,59.1133004926109,-0.0283332318839542,-0.0212446780547009,-0.0355734125330861
Matt Burke,1,751,29.5529326364801,-9.60502488128754,19.9479077551925,3.45622119815669,44.1640378548896,-0.188630349222495,-0.0956639261028476,-0.25225982005705
Matt Eberflus,3,2576,32.1998200849855,-12.8714296135213,19.4180241541904,4.2719614921781,51.8599562363238,-0.00471550109072165,-0.0390296374125268,0.0195436931738969
Mike Caldwell,2,2244,39.0884171708256,-10.8686365146961,28.2399824312578,7.02811244979919,62,-0.0654002281664556,-0.0823998374872353,-0.0537377054928967
Mike Macdonald,4,4515,23.0364818249381,-11.6518492941575,10.9768565404908,4.34782608695652,39.6371249127704,-0.117332342557562,-0.110895986860553,-0.121482697983996
Mike Zimmer,1,1006,31.1133458122477,-11.7231529461184,19.3901928661293,5.91054313099042,53.9473684210526,0.0514498417164208,0.115035714013541,-0.00289127609778343
Nick Rallis,3,3102,20.7072374910628,-11.3002438129579,9.87061457000377,6.74026728646137,44.8225923244026,0.0487696033283528,-0.00414800322914511,0.0941231592099967
Nick Sorensen,1,997,34.9069095380046,-10.7314574199484,24.1754521180562,7.34557595993323,56.5326633165829,-0.00133719903745313,0.0207958708168983,-0.0203884490386706
Patrick Graham,4,4135,31.8821937490883,-12.697074104801,19.2784038096381,5.40885860306643,55.0643536653609,-0.0129029008572798,-0.0678075751999711,0.0308920299967152
Raheem Morris,2,2108,14.0260787451276,-13.6185728451244,-0.654060134938809,3.86740331491713,32.2235434007134,-0.00993838638458172,-0.0454299714965061,0.0155965365525237
Robert Saleh,1,1115,29.986266195125,-10.972524543115,19.01374165201,3.98860398860399,50.363196125908,0.0397899353944617,-0.0130726427678586,0.0793365985720395
Ryan Nielsen,2,2123,30.4763295138417,-15.7653255519139,14.608865181759,2.93486041517537,48.2093663911846,0.00590618402028569,-0.0688463530724517,0.0685618375171038
Sean Desai,1,878,21.4125355819188,-13.5599922760266,7.85254330589222,3.72168284789644,38.0769230769231,0.00950503807255189,0.00880240170185875,0.00987923006295494
Sean McDermott,3,3292,26.1526725984951,-11.7319125352195,14.6973213761895,3.95,44.1950464396285,-0.0624247391407713,-0.0328699124132272,-0.0847543766271517
Shane Bowen,4,3880,26.7919012921031,-15.2130688690115,11.8508674120107,3.79697791553661,46.3433410315627,0.000823365161071666,-0.0476855916898575,0.0361348787361529
Steve Spagnuolo,4,4589,25.1930904571147,-9.72755002700013,15.4997293562833,6.37271787805718,44.5432977461447,-0.0583100210571426,-0.0475904777220668,-0.0658827862672965
Steve Wilks,2,2039,38.8290936685521,-11.5295227409594,27.9989623575393,6.28787878787878,59.5271210013908,-0.0309038612464816,-0.0312856861926388,-0.0306268205078603
Teryl Austin,4,4276,37.9796496445475,-10.9814131829712,26.9891961583919,6.10236220472441,56.9700460829493,-0.0379221562706331,-0.0636467172561972,-0.0191933966408936
Todd Bowles,4,4337,37.7402561209101,-8.96423741964922,28.8401296393905,7.31517509727626,59.9320882852292,-0.029201229974648,-0.0973759430025946,0.0154597526367172
Vance Joseph,4,4384,28.7294758500025,-12.1909060925009,17.1828902183596,4.86388384754991,48.6187845303868,-0.06842262766277,-0.069044302595307,-0.0679900872544805
Vic Fangio,3,3391,16.3472611281254,-11.601879215272,5.02651167120382,5.16528925619834,36.6632337796087,-0.115186263786378,-0.0945708553053844,-0.130175615175791
Zach Orr,2,2162,25.7947181991361,-9.67832038756301,16.306451387201,6.84736091298146,45.1315789473684,-0.0446532061569774,-0.126662827239839,0.00628591146745986
Zak Kuhr,1,1085,29.2667523395047,-6.30133229438983,22.9654200451149,6.48734177215189,47.9028697571744,-0.145118593854709,-0.0742632007887288,-0.196042485316349
