caller,seasons,n,actual,resid,epa_all,epa_run,epa_pass
Don Martindale,2,2284,29.3345008756567,4.86269093874184,-0.00746781742480303,0.0450399073394598,-0.0483342946831912
Ed Donatell,1,1185,12.4894514767933,-10.3883856608049,0.0128721044167981,-0.00142843521844286,0.0230455041861679
Ejiro Evero,4,4327,21.2387335336261,-4.59144820262461,0.00633433471829816,0.00373946069120668,0.00865171239591251
Gus Bradley,3,3304,26.725181598063,2.35126178672753,-0.0409591701678967,-0.0842805158143908,-0.00301346595198853
Jack Del Rio,2,1754,20.9806157354618,-1.59712832056285,-0.0495010338808806,-0.0935736299116643,-0.0171087613301757
Jeff Hafley,2,2230,20.0000000000001,-1.07564678522147,-0.0448382421406477,-0.0700228354252133,-0.0256764837141904
Jeff Ulbrich,4,4289,25.1340638843553,1.5259164492983,-0.0790893118968228,-0.0486901928616586,-0.105009112228832
Jesse Minter,2,2131,16.2365086813703,-5.31651509986034,-0.0920976462948734,-0.0797571440530915,-0.101162706789041
Jim Schwartz,3,3099,33.8496289125524,9.70436568109294,-0.135048006642627,-0.118413335206219,-0.148812266576758
Jimmy Lake,1,1066,18.1050656660413,-5.14483256134471,0.0366721068536851,-0.0143735208863791,0.0750611011146863
Joe Barry,2,2202,19.9818346957312,-3.86294971474383,-0.0128389691396525,0.00127845685783056,-0.0250128643621441
Joe Whitt Jr.,2,1826,22.9463307776561,-0.829337295914912,0.0494968532500505,-0.00179772094944144,0.0955181534664166
Joe Woods,2,1593,25.8003766478343,1.38125211843486,0.00306837441232586,0.0435053329908475,-0.0315313514959553
Jonathan Gannon,1,1220,20.983606557377,1.90681290144831,-0.108147902136025,0.0128587247865174,-0.196589006232388
Josh Boyer,1,1158,31.8652849740933,8.41795415287781,-0.0407671873507592,-0.0630086011078674,-0.0267331685293731
Kelvin Sheppard,1,1047,32.7602674307545,10.5521229866077,-0.0341881123695162,-0.032328258309255,-0.0355614483146775
Leslie Frazier,1,1136,14.612676056338,-5.15313818374431,-0.0810971412489889,-0.105248944931019,-0.0657940587435649
Lou Anarumo,4,4441,23.6883584778203,1.58083625592881,-0.0294076273130254,-0.0441816332250388,-0.0187460914942125
Lovie Smith,1,1134,24.8677248677249,-0.111722390904909,-0.0283332318839542,-0.0212446780547009,-0.0355734125330861
Matt Burke,1,790,22.4050632911392,4.35291513382115,-0.188630349222495,-0.0956639261028476,-0.25225982005705
Matt Eberflus,3,2662,21.6378662659654,-1.17488064422535,-0.00471550109072165,-0.0390296374125268,0.0195436931738969
Mike Caldwell,2,2313,26.1565067012538,2.76657633968197,-0.0654002281664556,-0.0823998374872353,-0.0537377054928967
Mike Macdonald,4,4637,15.8076342462799,-4.28871303542296,-0.117332342557562,-0.110895986860553,-0.121482697983996
Mike Zimmer,1,1043,23.777564717162,0.154974338913746,0.0514498417164208,0.115035714013541,-0.00289127609778343
Nick Rallis,3,3191,23.6916327170166,-2.02107961489216,0.0487696033283528,-0.00414800322914511,0.0941231592099967
Nick Sorensen,1,1029,27.7939747327503,3.87076403075913,-0.00133719903745313,0.0207958708168983,-0.0203884490386706
Patrick Graham,4,4283,27.247256595844,1.28899628693118,-0.0129029008572798,-0.0678075751999711,0.0308920299967152
Raheem Morris,2,2180,15.5045871559633,-8.11986655274561,-0.00993838638458172,-0.0454299714965061,0.0155965365525237
Robert Saleh,1,1151,21.6333622936577,0.139562201141633,0.0397899353944617,-0.0130726427678586,0.0793365985720395
Ryan Nielsen,2,2207,18.8944268237427,-5.06289502866159,0.00590618402028569,-0.0688463530724517,0.0685618375171038
Sean Desai,1,918,14.3790849673203,-6.83727967811538,0.00950503807255189,0.00880240170185875,0.00987923006295494
Sean McDermott,3,3410,19.9120234604105,-1.2286409056579,-0.0624247391407713,-0.0328699124132272,-0.0847543766271517
Shane Bowen,4,4005,18.3270911360799,-6.08884277150092,0.000823365161071666,-0.0476855916898575,0.0361348787361529
Steve Spagnuolo,4,4812,20.5320033250208,-0.416617674769725,-0.0583100210571426,-0.0475904777220668,-0.0658827862672965
Steve Wilks,2,2116,25.1890359168242,2.47705157816281,-0.0309038612464816,-0.0312856861926388,-0.0306268205078603
Teryl Austin,4,4440,26.6666666666667,4.36677462632162,-0.0379221562706331,-0.0636467172561972,-0.0191933966408936
Todd Bowles,4,4477,28.903283448738,6.55889601928472,-0.029201229974648,-0.0973759430025946,0.0154597526367172
Vance Joseph,4,4517,21.5629842816029,-1.0316764599053,-0.06842262766277,-0.069044302595307,-0.0679900872544805
Vic Fangio,3,3502,14.2490005711022,-6.86860931716775,-0.115186263786378,-0.0945708553053844,-0.130175615175791
Zach Orr,2,2252,21.2699822380107,0.0931059749967534,-0.0446532061569774,-0.126662827239839,0.00628591146745986
Zak Kuhr,1,1110,24.1441441441442,6.21988729468908,-0.145118593854709,-0.0742632007887288,-0.196042485316349
