"head_coach","point_diff_effect","seasons","wins_per_season","active_2025"
"Brian Flores",-0.0235080299800043,3,-0.010856993143995,FALSE
"Frank Reich",-0.0292248933464677,6,-0.0134972801619904,FALSE
"Doug Pederson",-0.0602051092706003,8,-0.0278052418318492,FALSE
"Jack Del Rio",-0.100580393396969,3,-0.0464522396159976,FALSE
"Jeff Fisher",-0.110583518890292,4,-0.0510721020626556,FALSE
"Jim Schwartz",-0.146464023588877,2,-0.0676432223924737,FALSE
"Gregg Williams",-0.183825139278901,1,-0.0848981509102451,FALSE
"Rob Chudzinski",-0.303097275419782,1,-0.139983020440046,FALSE
"Matt Eberflus",-0.318498336833325,3,-0.147095875848147,FALSE
"Antonio Pierce",-0.331753386808791,2,-0.153217613264229,FALSE
"Brandon Staley",-0.413809500263174,3,-0.191114564304145,FALSE
"Kellen Moore",-0.460135068331028,1,-0.21250965250729,TRUE
"Arthur Smith",-0.488118622477559,3,-0.225433630219243,FALSE
"Dirk Koetter",-0.494654248014128,3,-0.22845205591049,FALSE
"Mike McDaniel",-0.505846980567207,4,-0.233621328737465,TRUE
"Mike Mularkey",-0.52149577081549,3,-0.240848595700368,FALSE
"Freddie Kitchens",-0.563680493766939,1,-0.260331268142712,FALSE
"Doug Marrone",-0.594996275701147,6,-0.274794208254994,FALSE
"Chan Gailey",-0.617121411965803,1,-0.285012523143126,FALSE
"Zac Taylor",-0.622857411147361,7,-0.287661647882252,TRUE
"Josh McDaniels",-0.648745950639156,1,-0.299618060053308,FALSE
"Rich Bisaccia",-0.65455803329363,1,-0.302302323327841,FALSE
"Pat Shurmur",-0.672040166601311,3,-0.310376304925846,FALSE
"Vic Fangio",-0.806422171557205,2,-0.372439544921858,FALSE
"Rex Ryan",-0.818925198858816,5,-0.378213966760193,FALSE
"Mike Munchak",-0.827190180476721,2,-0.382031081543404,FALSE
"Jerod Mayo",-0.83853247346504,1,-0.3872694276454,FALSE
"Vance Joseph",-0.859071611622116,2,-0.396755262160016,FALSE
"Mike Pettine",-0.890747674105926,2,-0.411384594924522,FALSE
"Matt Rhule",-1.04067181054801,2,-0.480625842398497,FALSE
"Raheem Morris",-1.04543555126607,3,-0.482825937445157,TRUE
"Marc Trestman",-1.06122814009589,1,-0.490119616617641,FALSE
"Ben McAdoo",-1.06487800221558,2,-0.491805275860194,FALSE
"Jay Gruden",-1.0904504954434,5,-0.503615724625378,FALSE
"Nathaniel Hackett",-1.13705418204044,1,-0.525139259617438,FALSE
"Brian Schottenheimer",-1.17445774230354,1,-0.542413790817323,TRUE
"Dennis Allen",-1.21470116823434,5,-0.560999890962393,FALSE
"Jim Tomsula",-1.23461635075055,1,-0.570197556620629,FALSE
"David Culley",-1.39593806322791,1,-0.64470268222384,FALSE
"Brian Daboll",-1.41575917997471,4,-0.653856904368754,TRUE
"Steve Wilks",-1.47484598848478,2,-0.68114566805674,FALSE
"Lovie Smith",-1.48102347766039,3,-0.683998691371912,FALSE
"Jonathan Gannon",-1.54814903309763,3,-0.71500008518453,TRUE
"Tony Sparano",-1.58131898695691,1,-0.730319359574736,FALSE
"Aaron Glenn",-1.60607884392341,1,-0.741754498868,TRUE
"Joe Judge",-1.73779942399655,2,-0.802588581349329,FALSE
"Bill Callahan",-1.88423739965713,1,-0.870219773717201,FALSE
"Urban Meyer",-1.9213600834386,1,-0.887364584390191,FALSE
"Dave Canales",-1.92338765791481,2,-0.888301003231153,TRUE
"Ken Whisenhunt",-2.21839694041853,2,-1.02454864968567,FALSE
"Matt Patricia",-2.32497601283546,3,-1.07377133059548,FALSE
"Gus Bradley",-2.33177884817355,4,-1.07691316496817,FALSE
"Kevin Stefanski",-2.34672787046647,6,-1.0838172497716,TRUE
"Brian Callahan",-2.39615746219091,2,-1.10664590614643,TRUE
"Hue Jackson",-2.42455484651968,2,-1.11976100797449,FALSE
"Jon Gruden",-2.68358164271847,3,-1.23939043472073,FALSE
"Robert Saleh",-2.81008867039476,4,-1.29781668027669,FALSE
"Romeo Crennel",-2.96513217926959,2,-1.36942226842282,FALSE
"Adam Gase",-2.99364050496839,5,-1.38258860762359,FALSE
