caller,n_in,n_out,epa_in,epa_out,se,lift,moment,key
Norv Turner,454,2825,-0.04002950379722923,-0.01154461890815703,0.06435191596794801,-0.0284848848890722,"4th quarter or OT,
one score",late
Bruce Arians,472,2809,-0.052722085481321124,-0.029777070733692606,0.06844599648206617,-0.022945014747628518,"4th quarter or OT,
one score",late
Sean Payton,1414,9565,0.06692558591092485,0.03869119016728091,0.038443295202548536,0.028234395743643934,"4th quarter or OT,
one score",late
Scott Linehan,670,3519,0.04794196366573312,0.003234859002346258,0.06025615843210399,0.044707104663386864,"4th quarter or OT,
one score",late
Ben McAdoo,536,2879,0.016732283906294818,-0.05190067655367769,0.06713529052422548,0.0686329604599725,"4th quarter or OT,
one score",late
Chip Kelly,258,2421,-0.037668161485350536,-0.11804735227656961,0.0867452421788802,0.08037919079121908,"4th quarter or OT,
one score",late
Kyle Shanahan,1594,10788,-0.018309563198020008,0.06251123704562171,0.03742345904973894,-0.08082080024364172,"4th quarter or OT,
one score",late
Todd Haley,596,3411,0.030491348591685903,0.025709527865176586,0.06175252684499629,0.004781820726509317,"4th quarter or OT,
one score",late
Josh McDaniels,1349,9694,0.06694872135488081,0.04637754304554573,0.04158977645691219,0.02057117830933508,"4th quarter or OT,
one score",late
Darrell Bevell,743,5332,0.009590248745659873,-0.018222526607980124,0.05048616794390367,0.027812775353639997,"4th quarter or OT,
one score",late
Ken Whisenhunt,530,3493,-0.13665913246415898,0.050134142923407427,0.06689115934307441,-0.1867932753875664,"4th quarter or OT,
one score",late
Dirk Koetter,662,5138,-0.04195010957117806,0.0014210714216138637,0.05828411122853275,-0.04337118099279193,"4th quarter or OT,
one score",late
Doug Pederson,1094,6535,-0.06260426187236626,0.015316962324118834,0.040829391514328524,-0.07792122419648509,"4th quarter or OT,
one score",late
Jim Bob Cooter,495,3117,-0.029507686280121986,-0.01730230627740668,0.06928280397798846,-0.012205380002715305,"4th quarter or OT,
one score",late
Rob Chudzinski,382,2136,-0.15912171048145046,-0.04375284351282881,0.08059564980670697,-0.11536886696862166,"4th quarter or OT,
one score",late
Zac Taylor,1202,6857,0.005810868479260856,0.0030893880652139486,0.045144862760909905,0.0027214804140469075,"4th quarter or OT,
one score",late
Mike McCarthy,642,5115,0.11162111416745488,-9.150896509671996e-4,0.054544366861343466,0.11253620381842208,"4th quarter or OT,
one score",late
Pat Shurmur,699,5121,-0.09507815353816129,-0.020893815205617016,0.06091262629093438,-0.07418433833254427,"4th quarter or OT,
one score",late
Dowell Loggains,283,2183,-0.19204765662838347,-0.06554828987410143,0.07534415412493514,-0.12649936675428203,"4th quarter or OT,
one score",late
Terry Robiskie,346,1757,-0.09610199366684895,-0.007610777833984504,0.08715818719242013,-0.08849121583286444,"4th quarter or OT,
one score",late
Marty Mornhinweg,367,2576,-0.10688008159051933,-0.023086383576359566,0.06727751506855241,-0.08379369801415976,"4th quarter or OT,
one score",late
Nathaniel Hackett,686,3869,-0.2288454924382659,-0.08106876936666767,0.051125561634688066,-0.14777672307159823,"4th quarter or OT,
one score",late
Steve Sarkisian,324,1803,0.0644622602925604,0.03917248108937466,0.09052722428919066,0.025289779203185737,"4th quarter or OT,
one score",late
Todd Downing,622,3211,-0.011713795628528714,-0.035903838507962214,0.06038891207599499,0.0241900428794335,"4th quarter or OT,
one score",late
Jay Gruden,352,2889,-0.0975151292063077,-0.08071843759321075,0.08154235078432288,-0.01679669161309695,"4th quarter or OT,
one score",late
Matt Nagy,457,2836,-0.08878926892382631,-0.03825954489153341,0.0669991711563921,-0.0505297240322929,"4th quarter or OT,
one score",late
Brian Daboll,744,4842,0.014945889225511454,0.003726764531196303,0.05518231018341514,0.011219124694315151,"4th quarter or OT,
one score",late
Jon Gruden,525,2826,0.0732407172801364,-0.012670355980992427,0.06834498446508883,0.08591107326112882,"4th quarter or OT,
one score",late
Randy Fichtner,488,2613,-0.030099784045410773,-0.02105550393791348,0.06751265373800451,-0.009044280107497294,"4th quarter or OT,
one score",late
Brian Schottenheimer,686,3887,0.07640339807724542,0.05797827894379886,0.05675400592635717,0.018425119133446556,"4th quarter or OT,
one score",late
Todd Monken,487,3395,0.0409596080757065,0.10423827275774913,0.07136145717688282,-0.06327866468204263,"4th quarter or OT,
one score",late
Matt LaFleur,1171,7483,0.08871804087137646,0.07099202208961883,0.04200138432967973,0.017726018781757627,"4th quarter or OT,
one score",late
Byron Leftwich,742,4625,0.024966510790487395,0.018736699650521584,0.05453598694122062,0.0062298111399658115,"4th quarter or OT,
one score",late
Kevin Stefanski,864,5800,0.005838947495208685,-0.051779532324517374,0.04877911601141814,0.05761847981972606,"4th quarter or OT,
one score",late
Kliff Kingsbury,825,5784,0.0262726844174281,0.01853767451232034,0.05273190174091157,0.007735009905107761,"4th quarter or OT,
one score",late
Kellen Moore,1079,7068,0.024086451076984365,0.01861178912057767,0.04594648458711553,0.005474661956406696,"4th quarter or OT,
one score",late
Arthur Smith,1020,6413,0.03563660005803816,-0.01193377223152761,0.04644064193994189,0.047570372289565774,"4th quarter or OT,
one score",late
Kevin O'Connell,777,4130,-0.043248187292053396,-0.0576030363778028,0.053610323368769475,0.014354849085749403,"4th quarter or OT,
one score",late
Shane Steichen,926,5772,-0.061239066617668814,0.04379943653463921,0.048366322903952264,-0.10503850315230803,"4th quarter or OT,
one score",late
Scott Turner,581,3529,-0.07724490686979724,-0.07234868298513893,0.06058056118664912,-0.00489622388465831,"4th quarter or OT,
one score",late
Tim Kelly,419,2526,-0.07065845400961998,-0.035237857075841456,0.06915634505446697,-0.035420596933778525,"4th quarter or OT,
one score",late
Joe Brady,697,4121,0.04575154346467256,0.07839152755557978,0.05309079753473301,-0.032639984090907216,"4th quarter or OT,
one score",late
Klint Kubiak,575,3245,0.016861967513267743,-0.02449434278960896,0.059283187332402884,0.0413563103028767,"4th quarter or OT,
one score",late
Mike LaFleur,263,1917,-0.08102108812080615,-0.08243508340341565,0.08403555882811774,0.0014139952826095065,"4th quarter or OT,
one score",late
Matt Canada,530,2321,0.028127280446404272,-0.07510940374707956,0.060728420568570723,0.10323668419348384,"4th quarter or OT,
one score",late
Shane Waldron,527,3078,-0.006905921069519673,-0.009441452172363203,0.06685343124136874,0.0025355311028435303,"4th quarter or OT,
one score",late
Ken Dorsey,303,2133,0.010790388961205318,0.020631285220560097,0.09060641028588681,-0.009840896259354779,"4th quarter or OT,
one score",late
Mike McDaniel,543,3674,-0.0073827174117040055,0.011335592653992881,0.06341509314994798,-0.018718310065696887,"4th quarter or OT,
one score",late
Pete Carmichael,288,1828,-0.10123546297419535,-0.024387685828104886,0.08248592025533263,-0.07684777714609047,"4th quarter or OT,
one score",late
Mike Kafka,499,2837,-0.06592030295934018,-0.03608023716301044,0.06638770731682887,-0.029840065796329737,"4th quarter or OT,
one score",late
Ben Johnson,612,4219,0.1504831931391646,0.07932132090614258,0.0624629545480626,0.07116187223302203,"4th quarter or OT,
one score",late
Luke Getsy,301,2327,-0.35918895414723145,-0.05212293767919518,0.0946785226824306,-0.3070660164680363,"4th quarter or OT,
one score",late
Drew Petzing,355,2839,-0.11910625549612164,-0.0022090763154454384,0.0747652524153385,-0.1168971791806762,"4th quarter or OT,
one score",late
Bobby Slowik,336,2021,-0.05928196489515142,-0.03405574729987988,0.0767365135483175,-0.025226217595271536,"4th quarter or OT,
one score",late
Press Taylor,321,1774,-0.0635462601744193,-0.04696247390437067,0.08514328537239967,-0.016583786270048632,"4th quarter or OT,
one score",late
Dave Canales,426,2789,0.021427836986172923,-0.04258307816516441,0.06978512047628682,0.06401091515133733,"4th quarter or OT,
one score",late
Zac Robinson,423,1703,0.0036951497916762554,-0.003202890434174904,0.07096792171116269,0.006898040225851159,"4th quarter or OT,
one score",late
Liam Coen,327,1944,0.0065993406561675695,0.08310423730879217,0.08326830084558964,-0.0765048966526246,"4th quarter or OT,
one score",late
Mike Shula,269,3169,0.032626435458160144,-0.01257029140710222,0.09241749666451779,0.04519672686526237,Playoffs,playoff
Greg Roman,407,7464,-0.16430644259437158,0.048040430842838176,0.08698053836360535,-0.21234687343720976,Playoffs,playoff
Andy Reid,1366,10416,0.13575519070647227,0.0994125666442006,0.038965094259737175,0.036342624062271664,Playoffs,playoff
Bill O'Brien,404,6288,-0.16607870731861954,-0.06656038513373794,0.06900901608351671,-0.0995183221848816,Playoffs,playoff
Sean McVay,1099,11335,0.023172900685752538,0.03815534743615253,0.04165908373945579,-0.014982446750399992,Playoffs,playoff
Sean Payton,612,10367,-0.06031333877033395,0.04838678265222071,0.0577818645078679,-0.10870012142255467,Playoffs,playoff
Kyle Shanahan,1002,11380,0.054593669431848756,0.051887778975377066,0.04340479202011316,0.0027058904564716893,Playoffs,playoff
Todd Haley,389,3618,0.0038626039017993935,0.028846183082077537,0.08358695061014486,-0.024983579180278142,Playoffs,playoff
Josh McDaniels,1163,9880,0.03171913110231096,0.050911779141626534,0.04310578554120266,-0.01919264803931557,Playoffs,playoff
Doug Pederson,635,6994,0.06449056816644362,-0.0013360343846061417,0.05482439801237623,0.06582660255104976,Playoffs,playoff
Zac Taylor,435,7624,0.03783130700126169,0.0015361987578282371,0.06140800495200805,0.03629510824343345,Playoffs,playoff
Mike McCarthy,420,5337,0.10742821318088003,0.004095975678252163,0.071978266555219,0.10333223750262786,Playoffs,playoff
Brian Daboll,372,5214,0.19041373384039553,-0.00799178625715557,0.06894552836263575,0.1984055200975511,Playoffs,playoff
Todd Monken,251,3631,0.1477839969819658,0.09274097546211849,0.09285909731159951,0.0550430215198473,Playoffs,playoff
Matt LaFleur,554,8100,0.1297795906027904,0.06953385604482169,0.057951996504831405,0.06024573455796871,Playoffs,playoff
Byron Leftwich,480,4887,0.05478724026171867,0.01614170484235393,0.0640262893109066,0.03864553541936474,Playoffs,playoff
Kevin Stefanski,250,6414,-0.15582439791406444,-0.03996263445086463,0.09850130408092793,-0.11586176346319982,Playoffs,playoff
Kliff Kingsbury,269,6340,-0.0018871449809210877,0.020410806943770468,0.09206811144395716,-0.022297951924691556,Playoffs,playoff
Kellen Moore,447,7700,0.10017853076099419,0.01464384454105708,0.06429628047206556,0.08553468621993711,Playoffs,playoff
Arthur Smith,317,7116,-0.038808363602213576,-0.003917888982527888,0.07765778968581366,-0.03489047461968569,Playoffs,playoff
Shane Steichen,271,6427,0.11994327186069077,0.025454853791152168,0.08552988990501043,0.0944884180695386,Playoffs,playoff
Joe Brady,479,4339,0.1692454664142296,0.06311862927840636,0.05982657531633103,0.10612683713582324,Playoffs,playoff
Ben Johnson,416,4415,0.10066869887257628,0.08717422160208188,0.07285738661445985,0.013494477270494395,Playoffs,playoff
