caller,plays,epa,success,pass,epa_out,rz_lift
Norv Turner,463,-0.04276071796935929,44.06047516198704,47.94816414686825,-0.011004520852156339,-0.031756197117202956
Matt Nagy,453,-0.05547526769282426,40.618101545253865,60.70640176600441,-0.04364453131891719,-0.011830736373907066
Scott Linehan,573,-0.057546016608562144,41.8848167539267,56.195462478184986,0.021150014381085387,-0.07869603098964753
Dirk Koetter,862,-0.0714858857059467,37.93503480278422,59.28074245939675,0.00833360184419951,-0.07981948755014621
Ben McAdoo,422,-0.0793072485645947,40.52132701421801,58.53080568720379,-0.0357453674340147,-0.04356188113058
Bruce Arians,473,-0.0872108866787847,38.05496828752643,58.139534883720934,-0.023959354216188587,-0.06325153246259611
Chan Gailey,476,-0.09830741261401986,39.075630252100844,52.3109243697479,-0.012716457298846304,-0.08559095531517355
Kevin O'Connell,745,-0.10383926324132645,39.59731543624161,64.16107382550335,-0.04664683581246112,-0.05719242742886533
Adam Gase,586,-0.10555925889830543,41.12627986348123,61.262798634812285,-0.10180287010699286,-0.0037563887913125704
Scott Turner,568,-0.1071753369870415,41.021126760563384,55.45774647887324,-0.06756696830527047,-0.03960836868177103
Mike Kafka,451,-0.1072656032722123,39.24611973392461,46.11973392461197,-0.030113371553692724,-0.07715223171851956
John DeFilippo,407,-0.20329979138962123,31.941031941031937,64.12776412776412,-0.06349079348336366,-0.13980899790625756
