bucket,caller,n,pass,lg,from50,vs_lg
2nd & 3-6,Sean McVay,1311,53.394355453852015,51.302931596091206,3.3943554538520146,2.091423857760809
2nd & 3-6,Matt LaFleur,920,46.41304347826087,51.302931596091206,3.5869565217391326,-4.889888117830338
2nd & 3-6,Mike McDaniel,389,53.72750642673522,51.302931596091206,3.727506426735218,2.424574830644012
2nd & 3-6,Sean Payton,1102,54.17422867513611,51.302931596091206,4.1742286751361135,2.8712970790449077
2nd & 3-6,Dave Canales,334,54.49101796407185,51.302931596091206,4.491017964071851,3.1880863679806453
2nd & 3-6,Chip Kelly,241,55.18672199170125,51.302931596091206,5.186721991701248,3.883790395610042
2nd & 3-6,Kliff Kingsbury,694,55.47550432276657,51.302931596091206,5.475504322766568,4.172572726675362
2nd & 3-6,Kevin O'Connell,470,55.53191489361702,51.302931596091206,5.531914893617021,4.228983297525815
2nd & 3-6,Mike Kafka,319,43.573667711598745,51.302931596091206,6.426332288401255,-7.729263884492461
2nd & 3-6,Zac Robinson,211,43.127962085308056,51.302931596091206,6.872037914691944,-8.17496951078315
2nd & 3-6,Zac Taylor,797,57.96737766624843,51.302931596091206,7.9673776662484315,6.664446070157226
2nd & 3-6,Klint Kubiak,369,40.65040650406504,51.302931596091206,9.349593495934961,-10.652525092026167
2nd & 3-6,Shane Steichen,639,40.532081377151805,51.302931596091206,9.467918622848195,-10.770850218939401
2nd & 3-6,Todd Monken,395,39.49367088607595,51.302931596091206,10.506329113924053,-11.80926071001526
2nd & 3-6,Andy Reid,1174,61.58432708688245,51.302931596091206,11.584327086882453,10.281395490791247
2nd & 3-6,Drew Petzing,304,63.1578947368421,51.302931596091206,13.157894736842103,11.854963140750897
2nd & 7-10,Chip Kelly,410,52.926829268292686,67.46342715373427,2.9268292682926855,-14.536597885441587
2nd & 7-10,John Morton,223,58.29596412556054,67.46342715373427,8.295964125560538,-9.167463028173735
2nd & 7-10,Ben Johnson,715,58.32167832167832,67.46342715373427,8.32167832167832,-9.141748832055953
2nd & 7-10,Mike Kafka,498,59.23694779116466,67.46342715373427,9.23694779116466,-8.226479362569613
2nd & 7-10,Klint Kubiak,559,60.46511627906976,67.46342715373427,10.465116279069761,-6.9983108746645115
2nd & 7-10,Matt LaFleur,1327,63.22532027128862,67.46342715373427,13.225320271288624,-4.238106882445649
2nd & 7-10,Kevin Stefanski,1040,63.942307692307686,67.46342715373427,13.942307692307686,-3.5211194614265864
2nd & 7-10,Greg Olson,406,64.28571428571429,67.46342715373427,14.285714285714292,-3.177712868019981
2nd & 7-10,Drew Petzing,451,64.7450110864745,67.46342715373427,14.745011086474506,-2.718416067259767
2nd & 7-10,Kyle Shanahan,1848,64.82683982683982,67.46342715373427,14.826839826839816,-2.636587326894457
2nd & 7-10,Kevin Patullo,152,65.13157894736842,67.46342715373427,15.131578947368425,-2.331848206365848
2nd & 7-10,Arthur Smith,1117,65.17457475380483,67.46342715373427,15.174574753804833,-2.2888523999294392
2nd & 7-10,Todd Monken,603,65.33996683250415,67.46342715373427,15.339966832504146,-2.1234603212301266
2nd & 7-10,Sean Payton,1627,66.44130301167793,67.46342715373427,16.44130301167793,-1.0221241420563416
2nd & 7-10,Dan Campbell,161,66.45962732919256,67.46342715373427,16.459627329192557,-1.0037998245417157
2nd & 7-10,Brian Schottenheimer,651,67.58832565284179,67.46342715373427,17.58832565284179,0.12489849910751616
2nd & 7-10,Bo Hardegree,220,67.72727272727272,67.46342715373427,17.72727272727272,0.26384557353844684
2nd & 7-10,Dave Canales,498,68.47389558232932,67.46342715373427,18.47389558232932,1.010468428595047
2nd & 7-10,Mike McDaniel,609,69.6223316912972,67.46342715373427,19.622331691297205,2.1589045375629325
2nd & 7-10,Kevin O'Connell,725,70.34482758620689,67.46342715373427,20.34482758620689,2.881400432472617
2nd & 7-10,Greg Roman,1186,70.48903878583474,67.46342715373427,20.489038785834737,3.025611632100464
2nd & 7-10,Kellen Moore,1286,71.22861586314151,67.46342715373427,21.228615863141513,3.7651887094072407
2nd & 7-10,Sean McVay,1796,71.32516703786192,67.46342715373427,21.325167037861917,3.861739884127644
2nd & 7-10,Josh Grizzard,175,71.42857142857143,67.46342715373427,21.42857142857143,3.965144274837158
2nd & 7-10,Liam Coen,323,71.51702786377709,67.46342715373427,21.517027863777088,4.053600710042815
2nd & 7-10,Nick Caley,187,71.65775401069519,67.46342715373427,21.657754010695186,4.194326856960913
2nd & 7-10,Zac Robinson,304,72.03947368421053,67.46342715373427,22.039473684210535,4.576046530476262
2nd & 7-10,Brian Callahan,176,72.1590909090909,67.46342715373427,22.159090909090907,4.695663755356634
2nd & 7-10,Josh McDaniels,1672,72.78708133971293,67.46342715373427,22.787081339712927,5.323654185978654
2nd & 7-10,Mike LaFleur,342,73.09941520467837,67.46342715373427,23.099415204678365,5.635988050944093
2nd & 7-10,Shane Steichen,1053,73.21937321937322,67.46342715373427,23.219373219373225,5.755946065638952
2nd & 7-10,Zac Taylor,1202,75.12479201331115,67.46342715373427,25.12479201331115,7.661364859576878
2nd & 7-10,Andy Reid,1797,76.23817473567055,67.46342715373427,26.238174735670555,8.774747581936282
2nd & 7-10,Kliff Kingsbury,947,77.29672650475185,67.46342715373427,27.296726504751845,9.833299351017573
2nd & 7-10,Joe Brady,728,78.02197802197803,67.46342715373427,28.02197802197803,10.558550868243756
